Standardized,ISO3,Region,Subregion1,Subregion
Afghanistan,AFG,Asia,Southern Asia,Central and Southern Asia
Angola,AGO,Africa,Middle Africa,Sub-Saharah Africa
Albania,ALB,Europe,Southern Europe,Europe
Andorra,AND,Europe,Southern Europe,Europe
United Arab Emirates,ARE,Asia,Western Asia,Northern Africa and Western Asia
Argentina,ARG,South America,South America,Latin America and Caribbean
Armenia,ARM,Asia,Western Asia,Northern Africa and Western Asia
American Samoa,ASM,Oceania,Polynesia,Oceania
Australia,AUS,Oceania,Australia and New Zealand,Oceania
Austria,AUT,Europe,Western Europe,Europe
Azerbaijan,AZE,Asia,Western Asia,Northern Africa and Western Asia
Burundi,BDI,Africa,Eastern Africa,Sub-Saharah Africa
Belgium,BEL,Europe,Western Europe,Europe
Benin,BEN,Africa,Western Africa,Sub-Saharah Africa
Burkina Faso,BFA,Africa,Western Africa,Sub-Saharah Africa
Bangladesh,BGD,Asia,Southern Asia,Central and Southern Asia
Bulgaria,BGR,Europe,Eastern Europe,Europe
Bahrain,BHR,Asia,Western Asia,Northern Africa and Western Asia
Bahamas,BHS,South America,Caribbean,Latin America and Caribbean
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Europe
Belarus,BLR,Europe,Eastern Europe,Europe
Belize,BLZ,South America,Central America,Northern and Central America
Bermuda,BMU,North America,Northern America,Northern and Central America
Bolivia,BOL,South America,South America,Latin America and Caribbean
Brazil,BRA,South America,South America,Latin America and Caribbean
Barbados,BRB,South America,Caribbean,Latin America and Caribbean
Brunei,BRN,Asia,South-Eastern Asia,South-Eastern Asia
Bhutan,BTN,Asia,Southern Asia,Central and Southern Asia
Botswana,BWA,Africa,Southern Africa,Sub-Saharah Africa
Central African Republic,CAF,Africa,Middle Africa,Sub-Saharah Africa
Canada,CAN,North America,Northern America,Northern and Central America
Switzerland,CHE,Europe,Western Europe,Europe
Chile,CHL,South America,South America,Latin America and Caribbean
China,CHN,Asia,Eastern Asia,Eastern Asia
Cote d'Ivoire,CIV,Africa,Western Africa,Sub-Saharah Africa
Cameroon,CMR,Africa,Middle Africa,Sub-Saharah Africa
Democratic Republic of Congo,COD,Africa,Middle Africa,Sub-Saharah Africa
Republic of Congo,COG,Africa,Middle Africa,Sub-Saharah Africa
Colombia,COL,South America,South America,Latin America and Caribbean
Comoros,COM,Africa,Eastern Africa,Sub-Saharah Africa
Costa Rica,CRI,South America,Central America,Northern and Central America
Cuba,CUB,South America,Caribbean,Latin America and Caribbean
Curacao,CUW,South America,Caribbean,Latin America and Caribbean
Cayman Islands,CYM,South America,Caribbean,Latin America and Caribbean
Cyprus,CYP,Asia,Southern Europe,Europe
Czech Republic,CZE,Europe,Eastern Europe,Europe
Germany,DEU,Europe,Western Europe,Europe
Djibouti,DJI,Africa,Eastern Africa,Sub-Saharah Africa
Dominica,DMA,South America,Caribbean,Latin America and Caribbean
Denmark,DNK,Europe,Northern Europe,Europe
Dominican Republic,DOM,South America,Caribbean,Latin America and Caribbean
Algeria,DZA,Africa,Northern Africa,Northern Africa and Western Asia
Ecuador,ECU,South America,South America,Latin America and Caribbean
Egypt,EGY,Africa,Northern Africa,Northern Africa and Western Asia
Eritrea,ERI,Africa,Eastern Africa,Sub-Saharah Africa
Spain,ESP,Europe,Southern Europe,Europe
Estonia,EST,Europe,Northern Europe,Europe
Ethiopia,ETH,Africa,Eastern Africa,Sub-Saharah Africa
Finland,FIN,Europe,Northern Europe,Europe
Fiji,FJI,Oceania,Melanesia,Oceania
France,FRA,Europe,Western Europe,Europe
Faroe Islands,FRO,Europe,Northern Europe,Europe
Micronesia,FSM,Oceania,Micronesia,Oceania
Gabon,GAB,Africa,Middle Africa,Sub-Saharah Africa
UK,GBR,Europe,Northern Europe,Europe
Georgia,GEO,Asia,Western Asia,Northern Africa and Western Asia
Ghana,GHA,Africa,Western Africa,Sub-Saharah Africa
Gibraltar,GIB,Europe,Southern Europe,Europe
Guinea,GIN,Africa,Western Africa,Sub-Saharah Africa
Guadeloupe,GLP,South America,Caribbean,Latin America and Caribbean
Gambia,GMB,Africa,Western Africa,Sub-Saharah Africa
Guinea Bissau,GNB,Africa,Western Africa,Sub-Saharah Africa
Equatorial Guinea,GNQ,Africa,Middle Africa,Sub-Saharah Africa
Greece,GRC,Europe,Southern Europe,Europe
Grenada,GRD,South America,Caribbean,Latin America and Caribbean
Greenland,GRL,North America,Northern America,Northern and Central America
Guatemala,GTM,South America,Central America,Northern and Central America
Guam,GUM,Oceania,Micronesia,Oceania
Guyana,GUY,South America,South America,Latin America and Caribbean
Hong Kong,HKG,Asia,Eastern Asia,Eastern Asia
Honduras,HND,South America,Central America,Northern and Central America
Croatia,HRV,Europe,Southern Europe,Europe
Haiti,HTI,South America,Caribbean,Latin America and Caribbean
Hungary,HUN,Europe,Eastern Europe,Europe
Indonesia,IDN,Asia,South-Eastern Asia,South-Eastern Asia
India,IND,Asia,Southern Asia,Central and Southern Asia
Ireland,IRL,Europe,Northern Europe,Europe
Iran,IRN,Asia,Southern Asia,Central and Southern Asia
Iraq,IRQ,Asia,Western Asia,Northern Africa and Western Asia
Iceland,ISL,Europe,Northern Europe,Europe
Israel,ISR,Asia,Western Asia,Northern Africa and Western Asia
Italy,ITA,Europe,Southern Europe,Europe
Jamaica,JAM,South America,Caribbean,Latin America and Caribbean
Jordan,JOR,Asia,Western Asia,Northern Africa and Western Asia
Japan,JPN,Asia,Eastern Asia,Eastern Asia
Kazakhstan,KAZ,Asia,Central Asia,Central and Southern Asia
Kenya,KEN,Africa,Eastern Africa,Sub-Saharah Africa
Kyrgyzstan,KGZ,Asia,Central Asia,Central and Southern Asia
Cambodia,KHM,Asia,South-Eastern Asia,South-Eastern Asia
Saint Kitts and Nevis,KNA,South America,Caribbean,Latin America and Caribbean
South Korea,KOR,Asia,Eastern Asia,Eastern Asia
Kuwait,KWT,Asia,Western Asia,Northern Africa and Western Asia
Laos,LAO,Asia,South-Eastern Asia,South-Eastern Asia
Lebanon,LBN,Asia,Western Asia,Northern Africa and Western Asia
